"counter","size","memtype","temp","opt","value"
PAPI_L3_TCM,small,wc,nt,O2.4,86
PAPI_L3_TCM,small,unc,t,O2.4,606
PAPI_L3_TCM,small,unc,nt,O2.4,268
PAPI_L3_TCM,small,wb,t,O2.4,221893
PAPI_L3_TCM,small,wb,nt,O2.4,73655
PAPI_L3_TCM,small,wc,t,O2.4,1372
PAPI_L3_TCM,small,wc,nt,O2.4,49
PAPI_L3_TCM,small,unc,t,O2.4,449
PAPI_L3_TCM,small,unc,nt,O2.4,308
PAPI_L3_TCR,small,wb,t,O2.4,655469200
PAPI_L3_TCR,small,wb,nt,O2.4,655480651
PAPI_L3_TCR,small,wc,t,O2.4,1910
PAPI_L3_TCR,small,wc,nt,O2.4,242
PAPI_L3_TCR,small,unc,t,O2.4,579
PAPI_L3_TCR,small,unc,nt,O2.4,768
PAPI_L3_TCR,small,wb,t,O2.4,655471085
PAPI_L3_TCR,small,wb,nt,O2.4,655479266
PAPI_L3_TCR,small,wc,t,O2.4,595
PAPI_L3_TCR,small,wc,nt,O2.4,331
PAPI_L3_TCR,small,unc,t,O2.4,1645
PAPI_L3_TCR,small,unc,nt,O2.4,2514
MEM_UOPS_RETIRED:ALL_LOADS,small,wb,t,O2.4,1310721750
MEM_UOPS_RETIRED:ALL_LOADS,small,wb,nt,O2.4,1310721869
MEM_UOPS_RETIRED:ALL_LOADS,small,wc,t,O2.4,1310800143
MEM_UOPS_RETIRED:ALL_LOADS,small,wc,nt,O2.4,1310724771
MEM_UOPS_RETIRED:ALL_LOADS,small,unc,t,O2.4,1310800115
MEM_UOPS_RETIRED:ALL_LOADS,small,unc,nt,O2.4,1310800106
MEM_UOPS_RETIRED:ALL_LOADS,small,wb,t,O2.4,1310721797
MEM_UOPS_RETIRED:ALL_LOADS,small,wb,nt,O2.4,1310721869
MEM_UOPS_RETIRED:ALL_LOADS,small,wc,t,O2.4,1310800168
MEM_UOPS_RETIRED:ALL_LOADS,small,wc,nt,O2.4,1310724774
MEM_UOPS_RETIRED:ALL_LOADS,small,unc,t,O2.4,1310800119
MEM_UOPS_RETIRED:ALL_LOADS,small,unc,nt,O2.4,1310800159
OFFCORE_RESPONSE_0:ANY_REQUEST,small,wb,t,O2.4,655469798
OFFCORE_RESPONSE_0:ANY_REQUEST,small,wb,nt,O2.4,655484047
OFFCORE_RESPONSE_0:ANY_REQUEST,small,wc,t,O2.4,1310724984
OFFCORE_RESPONSE_0:ANY_REQUEST,small,wc,nt,O2.4,755513482
OFFCORE_RESPONSE_0:ANY_REQUEST,small,unc,t,O2.4,1310722090
OFFCORE_RESPONSE_0:ANY_REQUEST,small,unc,nt,O2.4,1310720752
OFFCORE_RESPONSE_0:ANY_REQUEST,small,wb,t,O2.4,655473246
OFFCORE_RESPONSE_0:ANY_REQUEST,small,wb,nt,O2.4,655482571
OFFCORE_RESPONSE_0:ANY_REQUEST,small,wc,t,O2.4,1310721064
OFFCORE_RESPONSE_0:ANY_REQUEST,small,wc,nt,O2.4,755209473
OFFCORE_RESPONSE_0:ANY_REQUEST,small,unc,t,O2.4,1310720815
OFFCORE_RESPONSE_0:ANY_REQUEST,small,unc,nt,O2.4,1310721220
OFFCORE_RESPONSE_0:DMND_DATA_RD,small,wb,t,O2.4,655469347
OFFCORE_RESPONSE_0:DMND_DATA_RD,small,wb,nt,O2.4,655480434
OFFCORE_RESPONSE_0:DMND_DATA_RD,small,wc,t,O2.4,1236
OFFCORE_RESPONSE_0:DMND_DATA_RD,small,wc,nt,O2.4,462
OFFCORE_RESPONSE_0:DMND_DATA_RD,small,unc,t,O2.4,1946
OFFCORE_RESPONSE_0:DMND_DATA_RD,small,unc,nt,O2.4,40988
OFFCORE_RESPONSE_0:DMND_DATA_RD,small,wb,t,O2.4,655469630
