"name","run.no.in.std.order","run.no","run.no.std.rp","sizea","sizeb","temp","Blocks"
"801","99",801,"99.7","7","9","tt",".7"
"804","76",804,"76.7","8","3","tt",".7"
"806","83",806,"83.7","7","5","tt",".7"
"807","95",807,"95.7","7","8","tt",".7"
"809","114",809,"114.7","6","13","tt",".7"
"811","63",811,"63.7","7","0","tt",".7"
"812","84",812,"84.7","8","5","tt",".7"
"813","85",813,"85.7","5","6","tt",".7"
"816","81",816,"81.7","5","5","tt",".7"
"818","77",818,"77.7","5","4","tt",".7"
"819","106",819,"106.7","6","11","tt",".7"
"823","62",823,"62.7","6","0","tt",".7"
"827","73",827,"73.7","5","3","tt",".7"
"829","75",829,"75.7","7","3","tt",".7"
"831","87",831,"87.7","7","6","tt",".7"
"832","66",832,"66.7","6","1","tt",".7"
"833","93",833,"93.7","5","8","tt",".7"
"834","120",834,"120.7","8","14","tt",".7"
"836","67",836,"67.7","7","1","tt",".7"
"839","102",839,"102.7","6","10","tt",".7"
"841","64",841,"64.8","8","0","tt",".8"
"844","90",844,"90.8","6","7","tt",".8"
"845","69",845,"69.8","5","2","tt",".8"
"846","67",846,"67.8","7","1","tt",".8"
"847","106",847,"106.8","6","11","tt",".8"
"850","87",850,"87.8","7","6","tt",".8"
"851","73",851,"73.8","5","3","tt",".8"
"852","78",852,"78.8","6","4","tt",".8"
"855","118",855,"118.8","6","14","tt",".8"
"856","82",856,"82.8","6","5","tt",".8"
"862","92",862,"92.8","8","7","tt",".8"
"865","116",865,"116.8","8","13","tt",".8"
"868","107",868,"107.8","7","11","tt",".8"
"869","104",869,"104.8","8","10","tt",".8"
"870","114",870,"114.8","6","13","tt",".8"
"872","119",872,"119.8","7","14","tt",".8"
"874","83",874,"83.8","7","5","tt",".8"
"875","103",875,"103.8","7","10","tt",".8"
"877","77",877,"77.8","5","4","tt",".8"
"878","110",878,"110.8","6","12","tt",".8"
"880","61",880,"61.8","5","0","tt",".8"
"885","81",885,"81.8","5","5","tt",".8"
"886","120",886,"120.8","8","14","tt",".8"
"887","71",887,"71.8","7","2","tt",".8"
"889","66",889,"66.8","6","1","tt",".8"
"891","72",891,"72.8","8","2","tt",".8"
"892","96",892,"96.8","8","8","tt",".8"
"896","75",896,"75.8","7","3","tt",".8"
"897","86",897,"86.8","6","6","tt",".8"
"899","85",899,"85.8","5","6","tt",".8"
"900","113",900,"113.8","5","13","tt",".8"
