"sizea","temp","Blocks","cyca","l3ra","l3ma","cycb","l3rb","l3mb"
65536,16,tt,4739016008,252190057,235333765,8760,317,290
12288,16,tt,4952622326,457037421,178813338,8319,304,280
3072,16,tt,4914367970,1031259556,208730,8393,317,290
16384,16,nt,9568323739,1216,567,7883,308,287
4096,16,tt,4878376209,1023249811,280675,7624,305,289
32768,16,tt,4914108304,290532785,234210836,9624,313,290
131072,16,tt,4965366189,252193093,250075997,11017,320,296
12288,16,nt,11766867657,589,119,8393,304,285
6144,16,nt,19003507045,951,559,7690,316,291
524288,16,tt,4983554875,252195273,252188169,9386,324,296
65536,16,nt,6433956827,7060,3741,8737,342,295
2048,16,tt,4990091854,1047364576,144298,8552,317,301
7168,16,tt,6308859646,591009983,216947669,8214,309,290
131072,16,nt,6407795074,156933,2775,8689,304,289
3072,16,nt,26942713499,359,68,9106,310,284
8192,16,nt,14848481735,1448,811,8882,314,293
32768,16,tt,4911336874,290530148,234145344,8886,317,286
2048,16,nt,27374850354,244,90,8909,315,286
65536,16,tt,4735989835,252192691,235382331,8869,312,286
7168,16,tt,3690605779,591002489,51192357,7410,322,292
131072,16,tt,4964557981,252190861,250019701,10288,312,291
12288,16,tt,4969713308,457037460,179396060,8550,320,293
5120,16,nt,23456235355,793,428,8202,321,292
3072,16,tt,4915267880,1031259175,262008,8865,311,286
5120,16,tt,4431046325,913894019,3540711,8181,320,290
16384,16,nt,9568199010,1139,406,8379,320,290
32768,16,nt,7452300476,3444,2442,8137,311,290
3072,16,nt,27023953226,384,152,9038,305,287
2048,16,tt,4990491976,1047364557,169318,7298,323,283
4096,16,tt,4877719367,1023248402,259455,7605,315,291
65536,16,nt,6433326656,18803,16143,8336,309,288
8192,16,tt,4039025001,577195589,79133875,9246,314,285
524288,16,tt,4984218399,252196676,252190906,10728,300,283
6144,16,tt,3965987256,740307429,26202773,8266,316,291
12288,16,nt,11766211415,1468,1086,8624,314,293
4096,16,nt,26639540248,566,251,8734,314,289
262144,16,tt,4991948165,252194933,252184916,9903,322,291
16384,16,tt,4925860801,371678910,206628589,10004,307,287
131072,16,nt,6409864727,116510,8992,8606,322,293
524288,16,nt,6381624388,491007,86262,8436,320,292
7168,16,nt,15179072021,657,160,7985,304,286
6144,16,nt,19045057512,879,431,8123,312,285
262144,16,nt,6393745215,487283,17516,9825,316,289
262144,16,nt,6392749962,484030,23514,8841,304,284
16384,16,tt,4916837020,371678668,206454597,7936,320,290
8192,16,tt,4044642631,577196723,77489557,9136,302,290
4096,16,nt,26624066175,631,364,8992,302,290
5120,16,tt,4451019956,913894297,5424157,8129,316,287
2048,16,tt,4991369941,1047364517,209469,7331,319,291
524288,16,tt,4990590346,252193101,252185137,10269,317,286
16384,16,nt,9554328221,689,20,8416,317,289
6144,16,tt,3996830742,740307525,28199471,8640,310,290
131072,16,nt,6408555968,91948,11795,8663,315,291
6144,16,nt,19139288945,730,373,8678,307,288
32768,16,tt,4914730761,290532979,234200396,8825,310,292
4096,16,tt,5121566434,1023251815,15322123,8228,309,288
3072,16,tt,4915022677,1031263068,240415,8421,307,289
131072,16,tt,4964866820,252197216,250060275,9133,314,291
2048,16,nt,27425025083,273,72,8598,306,283
32768,16,nt,7452616661,4240,2866,9598,316,296
8192,16,nt,14897257958,920,164,8579,315,289
12288,16,nt,11768744436,1023,621,9100,316,293
12288,16,tt,4965407109,457034441,179773545,7957,310,282
7168,16,nt,15159762989,560,121,8349,302,288
3072,16,nt,26939373366,711,460,8623,308,291
