"sizea","temp","Blocks","cyca","l3ra","l3ma","cycb","l3rb","l3mb"
262144,16,nt,6393245568,485376,1458,9524,308,293
262144,16,nt,6392857425,486710,16110,8579,319,300
16384,16,tt,4983343184,371675802,206530945,8412,322,293
8192,16,tt,4076543366,577197444,79473926,7728,309,292
4096,16,nt,26728127549,783,442,8118,316,298
5120,16,tt,4569791673,913894048,13222555,7700,308,291
2048,16,tt,4989825544,1047364542,128060,7015,322,288
524288,16,tt,4981457132,252196559,252188827,10142,309,289
16384,16,nt,9558663962,776,147,8578,316,291
6144,16,tt,3963854480,740307510,26310120,8243,310,288
131072,16,nt,6407699343,145985,8438,8226,307,292
6144,16,nt,19141011265,1394,1023,9477,313,294
32768,16,tt,4971125549,290527253,234186801,8393,309,291
4096,16,tt,4878009782,1023249674,246559,7863,312,293
3072,16,tt,4912008546,1031262329,54127,9128,309,287
131072,16,tt,4970231693,252192741,250095496,9710,306,290
2048,16,nt,27222794323,192,51,7971,318,292
32768,16,nt,7451843532,1411,210,8232,310,291
8192,16,nt,14914170201,448,83,9650,312,294
12288,16,nt,11763365105,1434,965,9536,313,291
12288,16,tt,5005439383,457035674,179335462,7691,313,289
7168,16,nt,15184728672,795,389,7808,305,293
3072,16,nt,27051614086,387,157,8497,302,288
524288,16,nt,6383111401,490354,72829,8910,321,297
7168,16,tt,3573152831,591001408,45778747,8346,314,285
262144,16,tt,4995726518,252195759,252187733,11878,338,316
65536,16,tt,4757076991,252192944,235448529,8878,365,285
5120,16,nt,23630345623,1247,959,7625,315,287
65536,16,nt,6431845760,10901,7343,8787,317,287
7168,16,nt,15263482234,588,294,8607,308,288
7168,16,tt,3579166468,591001287,45952631,7538,316,290
4096,16,tt,5146181142,1023252034,17359509,8105,312,296
6144,16,tt,4013779535,740307531,28850555,8339,314,296
12288,16,nt,11760679781,2388,1529,9100,304,289
2048,16,nt,27387574517,202,17,9027,311,291
3072,16,tt,4915460841,1031259464,257791,7789,312,282
262144,16,nt,6392778645,480999,13570,8983,316,293
32768,16,tt,4967322278,290526329,234253078,8020,311,294
65536,16,nt,6431754376,4855,1423,8511,314,287
2048,16,tt,4991114255,1047364575,193803,8522,312,285
12288,16,tt,5017432377,457035068,179636829,7961,302,288
65536,16,tt,4755850965,252186564,235364184,8213,306,292
16384,16,tt,4978082952,371678553,206640722,8469,313,286
131072,16,nt,6408449301,142681,890,8901,312,292
5120,16,tt,4412664891,913894221,2946078,7452,310,284
8192,16,tt,4068406603,577195931,79318266,8749,318,291
8192,16,nt,14899220481,1125,765,8928,316,293
32768,16,nt,7447925680,3511,2530,8650,324,281
131072,16,tt,4958030362,252192705,250043897,8481,307,294
262144,16,tt,4996487351,252195907,252186211,9233,308,290
524288,16,tt,4989352055,252192713,252185285,8925,304,286
5120,16,nt,23561338735,534,189,8472,311,295
4096,16,nt,26601209365,478,153,9405,309,289
16384,16,nt,9563749367,2446,1824,8962,305,290
524288,16,nt,6382208647,490732,64066,8949,316,287
6144,16,nt,19140464722,1075,604,8543,314,288
3072,16,nt,27038644283,355,113,8650,305,288
2048,16,nt,27315639440,219,52,8771,316,293
8192,16,nt,14814783479,591,90,8515,311,292
12288,16,nt,11761766243,2597,2159,8766,320,284
12288,16,tt,4983038454,457031615,179927365,8408,310,283
262144,16,tt,4992563385,252196937,252187748,10021,315,284
6144,16,tt,3898302990,740307416,21531511,7936,315,295
3072,16,nt,27069971285,339,69,7720,304,293
65536,16,tt,4749297817,252187953,235332782,8584,315,285
6144,16,nt,19005622802,686,179,8207,315,288
524288,16,nt,6382679682,490867,53956,8985,310,289
5120,16,nt,23654353744,1032,549,8346,305,290
524288,16,tt,4987643737,252196969,252189480,9485,326,288
131072,16,tt,4962748253,252194310,250035436,9572,311,290
131072,16,nt,6408486771,179759,428,8144,316,290
16384,16,tt,4958529538,371675838,206567688,7932,312,288
3072,16,tt,4913454030,1031259258,153184,8773,320,287
5120,16,tt,4626074237,913894375,16521871,8422,307,288
