"prefetch","size","memtyp","temp","app","displaysize","cycles","l3m","l3l"
off,huge,wc,nt,memory_load_random, 2048KB,2.444.526.163,3.945,459.430.430
off,huge,wc,nt,memory_load_random, 1024KB,2.316.420.434,28.429,394.315.415
off,huge,wc,nt,memory_load_random, 512KB,2.086.205.939,14.222,262.033.989
off,huge,wc,nt,memory_load_random, 256KB,1.659.692.344,785,31.579.078
off,small,wb,t,memory_load_ind, 32768KB,10.404.040.568,507.030.843,525.712.621
off,small,wb,t,memory_load_ind, 16384KB,7.541.581.197,304.799.306,525.915.282
off,small,wb,t,memory_load_ind, 8192KB,3.687.516.696,70.413.098,525.409.671
off,small,wb,t,memory_load_ind, 4096KB,2.516.384.512,110.158,524.356.343
off,small,wb,t,memory_load_ind, 2048KB,2.541.345.805,28.450,524.322.366
off,small,wb,t,memory_load_ind, 1024KB,2.504.099.654,8.672,524.316.070
off,small,wb,t,memory_load_ind, 512KB,2.502.285.683,6.768,524.315.290
off,small,wb,t,memory_load_ind, 256KB,1.572.520.440,4.969,163.742.235
off,small,wb,t,memory_load_dep, 32768KB,110.533.335.693,523.616.663,527.010.624
off,small,wb,t,memory_load_dep, 16384KB,107.383.158.395,504.444.516,526.979.707
off,small,wb,t,memory_load_dep, 8192KB,95.008.523.728,433.036.995,526.797.810
off,small,wb,t,memory_load_dep, 4096KB,76.353.026.119,327.334.453,526.045.709
off,small,wb,t,memory_load_dep, 2048KB,18.126.034.080,196.151,524.506.652
off,small,wb,t,memory_load_dep, 1024KB,17.653.528.046,46.044,524.502.077
off,small,wb,t,memory_load_dep, 512KB,17.612.627.259,23.322,524.533.532
off,small,wb,t,memory_load_dep, 256KB,13.145.077.516,1.059.842,296.319.939
off,small,wb,t,memory_load_random, 32768KB,12.389.322.933,473.282.257,535.905.402
off,small,wb,t,memory_load_random, 16384KB,9.002.594.607,306.838.850,529.262.669
off,small,wb,t,memory_load_random, 8192KB,4.340.445.218,66.465.668,517.469.943
off,small,wb,t,memory_load_random, 4096KB,2.530.747.923,344.629,492.379.812
off,small,wb,t,memory_load_random, 2048KB,2.449.361.619,18.922,459.536.128
off,small,wb,t,memory_load_random, 1024KB,2.317.731.166,10.123,394.225.904
off,small,wb,t,memory_load_random, 512KB,2.089.495.329,5.306,262.214.511
off,small,wb,t,memory_load_random, 256KB,1.729.615.929,3.824,89.233.363
